# solution from ATHENA 
# Nx1 = 800
# x1-size = 1
# Time = 0.1
#
# [1]=i-zone [2]=x1 [3]=d [4]=M1 [5]=M2 [6]=M3 [7]=P [8]=E [9]=B1c [10]=B2c [11]=B3c [12]=B1i [13]=B1i [14]=B1i
#
  4 6.25000000e-04 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
  5 1.87500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
  6 3.12500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
  7 4.37500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
  8 5.62500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
  9 6.87500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 10 8.12500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 11 9.37500000e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 12 1.06250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 13 1.18750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 14 1.31250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
