  i          x            density        pressure        velocity

   1   0.0000000E+00   1.0000000E+00   1.0000000E+00   0.0000000E+00
   2   2.5062656E-03   1.0000000E+00   1.0000000E+00   0.0000000E+00
   3   5.0125313E-03   1.0000000E+00   1.0000000E+00   0.0000000E+00
   4   7.5187972E-03   1.0000000E+00   1.0000000E+00   0.0000000E+00
   5   1.0025063E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
   6   1.2531328E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
   7   1.5037594E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
   8   1.7543860E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
   9   2.0050125E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  10   2.2556391E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  11   2.5062656E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  12   2.7568921E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  13   3.0075189E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  14   3.2581452E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  15   3.5087720E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  16   3.7593983E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  17   4.0100250E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  18   4.2606518E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  19   4.5112781E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  20   4.7619049E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  21   5.0125312E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  22   5.2631579E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  23   5.5137843E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  24   5.7644110E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  25   6.0150377E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  26   6.2656641E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  27   6.5162905E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  28   6.7669176E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  29   7.0175439E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  30   7.2681703E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  31   7.5187966E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  32   7.7694237E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  33   8.0200501E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  34   8.2706764E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  35   8.5213035E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  36   8.7719299E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  37   9.0225562E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  38   9.2731826E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  39   9.5238097E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  40   9.7744361E-02   1.0000000E+00   1.0000000E+00   0.0000000E+00
  41   1.0025062E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  42   1.0275690E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  43   1.0526316E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  44   1.0776942E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  45   1.1027569E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  46   1.1278196E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  47   1.1528822E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  48   1.1779448E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  49   1.2030075E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  50   1.2280702E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  51   1.2531328E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  52   1.2781955E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  53   1.3032581E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  54   1.3283208E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  55   1.3533835E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  56   1.3784461E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  57   1.4035088E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  58   1.4285715E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  59   1.4536341E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  60   1.4786968E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  61   1.5037593E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  62   1.5288220E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  63   1.5538847E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  64   1.5789473E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  65   1.6040100E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  66   1.6290727E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  67   1.6541353E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  68   1.6791980E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  69   1.7042607E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  70   1.7293233E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  71   1.7543860E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  72   1.7794485E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  73   1.8045112E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  74   1.8295740E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  75   1.8546365E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  76   1.8796992E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  77   1.9047619E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  78   1.9298245E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  79   1.9548872E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  80   1.9799499E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  81   2.0050125E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  82   2.0300752E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  83   2.0551379E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  84   2.0802005E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  85   2.1052632E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  86   2.1303257E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  87   2.1553884E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  88   2.1804512E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  89   2.2055137E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  90   2.2305764E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  91   2.2556391E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  92   2.2807017E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  93   2.3057644E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  94   2.3308271E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  95   2.3558897E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  96   2.3809524E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  97   2.4060151E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  98   2.4310777E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
  99   2.4561404E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 100   2.4812029E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 101   2.5062656E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 102   2.5313282E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 103   2.5563911E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 104   2.5814536E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 105   2.6065162E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 106   2.6315790E-01   1.0000000E+00   1.0000000E+00   0.0000000E+00
 107   2.6566416E-01   9.9190104E-01   9.8867989E-01   9.6140299E-03
 108   2.6817042E-01   9.8316360E-01   9.7650868E-01   2.0056764E-02
 109   2.7067670E-01   9.7448748E-01   9.6446568E-01   3.0499596E-02
 110   2.7318296E-01   9.6587306E-01   9.5255065E-01   4.0942330E-02
 111   2.7568921E-01   9.5731962E-01   9.4076198E-01   5.1385064E-02
 112   2.7819550E-01   9.4882667E-01   9.2909819E-01   6.1827898E-02
 113   2.8070176E-01   9.4039434E-01   9.1755897E-01   7.2270632E-02
 114   2.8320801E-01   9.3202204E-01   9.0614283E-01   8.2713366E-02
 115   2.8571430E-01   9.2370921E-01   8.9484829E-01   9.3156196E-02
 116   2.8822055E-01   9.1545612E-01   8.8367498E-01   1.0359893E-01
 117   2.9072681E-01   9.0726209E-01   8.7262148E-01   1.1404166E-01
 118   2.9323307E-01   8.9912689E-01   8.6168665E-01   1.2448440E-01
